"train_id","train_no","train_code","train_type","from_station","to_station"
1,"24000000G10K",G1,G,VNP,SHH
2,"5l00000G1006",G10,G,AOH,VNP
3,"2400000G110P",G11,G,VNP,AOH
4,"5l00000G1209",G12,G,AOH,VNP
5,"2400000G130D",G13,G,VNP,SHH
6,"5500000G1401",G14,G,SHH,VNP
7,"2400000G150J",G15,G,VNP,AOH
8,"5500000G1600",G16,G,SHH,VNP
9,"2400000G170G",G17,G,VNP,AOH
10,"5l00000G1841",G18,G,AOH,VNP
11,"2400000G190S",G19,G,VNP,AOH
12,"6x0000G1000B",G100,G,XJA,AOH
13,"5l0000G10281",G102,G,AOH,VNP
14,"240000G10336",G103,G,VNP,AOH
15,"5l0000G104B3",G104,G,AOH,VNP
16,"240000G1050R",G105,G,VNP,AOH
17,"5l0000G106F2",G106,G,AOH,VNP
18,"240000G1070S",G107,G,VNP,AOH
19,"5q0000G10803",G108,G,EPH,VNP
20,"240000G1093P",G109,G,VNP,AOH
21,"5l0000G11000",G110,G,AOH,VNP
22,"240000G1111I",G111,G,VNP,AOH
23,"5l0000G11202",G112,G,AOH,VNP
24,"240000G1131E",G113,G,VNP,AOH
25,"5l0000G11404",G114,G,AOH,VNP
26,"240000G11526",G115,G,VNP,HGH
27,"5l0000G11602",G116,G,AOH,VNP
28,"240000G1171D",G117,G,VNP,AOH
29,"5l0000G1180A",G118,G,AOH,VNP
30,"240000G1190W",G119,G,VNP,AOH
31,"240000G12118",G121,G,VNP,AOH
32,"5l0000G12203",G122,G,AOH,VNP
33,"240000G12334",G123,G,VNP,AOH
34,"5l0000G12405",G124,G,AOH,VNP
35,"240000G1251T",G125,G,VNP,AOH
36,"240000G12744",G127,G,VNP,AOH
37,"550000G12820",G128,G,SHH,VNP
38,"240000G12924",G129,G,VNP,AOH
39,"5l0000G13003",G130,G,AOH,VNP
40,"240000G13117",G131,G,VNP,AOH
41,"5l0000G132H2",G132,G,AOH,VNP
42,"240000G1330Q",G133,G,VNP,SHH
43,"5l0000G13400",G134,G,AOH,VNP
44,"240000G1350L",G135,G,VNP,AOH
45,"240000G13718",G137,G,VNP,AOH
46,"5l0000G13800",G138,G,AOH,VNP
47,"240000G1391D",G139,G,VNP,AOH
48,"5l0000G14082",G140,G,AOH,VNP
49,"240000G1410S",G141,G,VNP,AOH
50,"5l0000G14204",G142,G,AOH,VNP
51,"240000G14313",G143,G,VNP,AOH
52,"5l0000G144Y6",G144,G,AOH,VNP
53,"240000G1450Z",G145,G,VNP,AOH
54,"5l0000G14605",G146,G,AOH,VNP
55,"240000G1470M",G147,G,VNP,AOH
56,"5l0000G148H0",G148,G,AOH,VNP
57,"240000G1491Y",G149,G,VNP,AOH
58,"5l0000G15073",G150,G,AOH,VNP
59,"240000G15137",G151,G,VNP,EPH
60,"5l0000G152G2",G152,G,AOH,VNP
61,"240000G1530P",G153,G,VNP,AOH
62,"5l0000G154C1",G154,G,AOH,VNP
63,"5l0000G15606",G156,G,AOH,VNP
64,"240000G1570Z",G157,G,VNP,AOH
65,"560000G15801",G158,G,HGH,VNP
66,"240000G1593L",G159,G,VNP,AOH
67,"5l0000G16008",G160,G,AOH,VNP
68,"240000G1610K",G161,G,VNP,AOH
69,"5l0000G16203",G162,G,AOH,VNP
70,"240000G1690F",G169,G,VNP,NXG
71,"5u0000G17007",G170,G,NXG,VNP
72,"240000G1710P",G171,G,VNP,FZS
73,"560000G17202",G172,G,HGH,VNP
74,"240000G1730C",G173,G,VNP,NGH
75,"5j0000G17401",G174,G,TZH,VNP
76,"560000G17612",G176,G,ZDH,VNP
77,"240000G1770U",G177,G,VNP,SKU
78,"560000G17802",G178,G,JUH,VNP
79,"240000G1790M",G179,G,VNP,HGH
80,"5j0000G18032",G180,G,NHH,VNP
81,"240000G18124",G181,G,VNP,CEH
82,"5e0000G18202",G182,G,NGH,VNP
83,"240000G18324",G183,G,VNP,VRH
84,"5j0000G18402",G184,G,VRH,VNP
85,"240000G1850T",G185,G,VNP,NHH
86,"580000G18604",G186,G,FZS,VNP
87,"240000G1870T",G187,G,VNP,TZH
88,"240000G1890T",G189,G,VNP,HGH
89,"5j0000G19003",G190,G,CEH,VNP
90,"240000G1910U",G191,G,VNP,JUH
91,"560000G19202",G192,G,HGH,VNP
92,"240000G19300",G193,G,VNP,HGH
93,"5j0000G19402",G194,G,SKU,VNP
94,"240000G1950X",G195,G,VNP,NGH
95,"5e0000G19621",G196,G,NGH,VNP
96,"240000G1970U",G197,G,VNP,PIS
97,"4z0000G1980D",G198,G,PIS,VNP
98,"4e000G10010N",G1001,G,WHN,IOQ
99,"6i000G10020I",G1002,G,IOQ,WHN
100,"6i000G10040I",G1004,G,IOQ,WHN
101,"4e000G100512",G1005,G,WHN,IOQ
102,"6i000G10060I",G1006,G,IOQ,WHN
103,"4e000G10070N",G1007,G,WHN,IOQ
104,"6i000G10080N",G1008,G,IOQ,WHN
105,"4e000G10090R",G1009,G,WHN,IOQ
106,"6i000G10100P",G1010,G,IOQ,WHN
107,"6i000G10120G",G1012,G,IOQ,WHN
108,"39000G102009",G1017,G,ECN,IOQ
109,"39000G102009",G1020,G,ECN,IOQ
110,"42000G103005",G1027,G,HAN,IOQ
111,"6i000G10280A",G1028,G,IOQ,HAN
112,"6i000G10280A",G1029,G,IOQ,HAN
113,"42000G103005",G1030,G,HAN,IOQ
114,"42000G10340J",G1031,G,HAN,IOQ
115,"6i000G10320K",G1032,G,IOQ,HAN
116,"6i000G10320K",G1033,G,IOQ,HAN
117,"42000G10340J",G1034,G,HAN,IOQ
118,"6i000G10360B",G1036,G,IOQ,HAN
119,"6i000G10360B",G1037,G,IOQ,HAN
120,"4r000G104207",G1039,G,OUN,IOQ
121,"6i000G104005",G1040,G,IOQ,OUN
122,"6i000G104005",G1041,G,IOQ,OUN
123,"4r000G104207",G1042,G,OUN,IOQ
124,"24000G104504",G1045,G,VNP,VXK
125,"47000G104600",G1046,G,VXK,VNP
126,"24000G104703",G1047,G,VNP,JGK
127,"24000G104903",G1049,G,VNP,JGK
128,"4p000G105003",G1050,G,JGK,VNP
129,"24000G105305",G1053,G,VNP,JGK
130,"4p000G105401",G1054,G,TMK,VNP
